BEDS,BATH,SQFT_LOG,ZIPCODE,SUBLOCALITY,BROKERTITLE,TYPE,LATITUDE,LONGITUDE,PRICE_CATEGORY
3,1.0,3.339293966003392,10021,New York,Corcoran West Side,Co-op for sale,40.7678195,-73.9594251,Cheap
2,2.0,2.9561684304753633,11374,Queens County,EXP Realty,Condo for sale,40.7324713,-73.8670804,Mid
3,2.0,3.229425847920695,10305,Richmond County,Momentum Real Estate LLC,Multi-family home for sale,40.5870716,-74.0944361,Mid
2,1.0,3.339293966003392,10025,New York,COMPASS,Co-op for sale,40.7991571,-73.9690321,Mid
3,1.0,2.6989700043360187,10034,New York,New Heights Realty,Co-op for sale,40.8717961,-73.916064,Cheap
6,3.0,3.339293966003392,11413,Queens County,Keller Williams Legendary,Multi-family home for sale,40.6632412,-73.7625294,Expensive
2,1.0,2.9777236052888476,11223,Brooklyn,eXp Realty BKNY,Co-op for sale,40.5911414,-73.9676771,Cheap
2,2.0,2.9542425094393248,11372,Queens,Other,Co-op for sale,40.7562792,-73.8758052,Cheap
4,4.0,3.5330090224954853,11231,Kings County,COMPASS,Townhouse for sale,40.6857092,-74.003264,Expensive
3,1.0,3.339293966003392,10014,New York,COMPASS,Co-op for sale,40.7345988,-74.007273,Mid
3,3.0,3.246252312299322,11109,Queens County,COMPASS,Condo for sale,40.7465758,-73.9569744,Expensive
4,3.0,3.5018804937550585,11375,Queens County,EXP Realty,Multi-family home for sale,40.7196606,-73.8507871,Mid
2,2.0,3.059184617631371,10466,Bronx County,"Weichert, Realtors - Larchmont",House for sale,40.8955154,-73.8510754,Mid
5,2.0,3.4149733479708178,10460,Bronx County,Exp Realty,Multi-family home for sale,40.8315561,-73.8872273,Mid
1,1.0,2.9777236052888476,11372,Queens,Showcase Realty Inc,Co-op for sale,40.75054,-73.8885096,Mid
7,2.3738608579684373,3.53731527311201,11415,Queens County,Winzone Realty Inc,House for sale,40.7082867,-73.8335669,Expensive
4,2.0,3.250907699700856,11228,Brooklyn,"BEN BAY REALTY, CO.",Condo for sale,40.6226046,-74.0176964,Mid
1,1.0,2.8750612633917,10308,Staten Island,Red Door Realty Group,Contingent,40.5523555,-74.1450647,Cheap
1,1.0,2.823474229170301,11207,Brooklyn,Corcoran Bedford Stuyvesant,Condo for sale,40.6541622,-73.8846778,Cheap
6,2.0,3.339293966003392,10458,Bronx County,Lavilla Homes Inc,Multi-family home for sale,40.8655935,-73.8916669,Mid
